,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
10,"Sunil Grover says there is no need for a mediator to resolve the feud between him and Kapil Sharma. Sunil further said, ""The best part is that the comedy didn't stop and it's continuing",43,93,82.92682926829268,34,41,"Comedian Sunil Grover has said that there is no need for a mediator to resolve the feud between him and Kapil Sharma. ""I know [Kapil] very well. Why do I need someone else to sort things between us?"" he added. Sunil further said, ""Anyway, the best part is that the comedy didn't stop and it's continuing from both ends.""","Comedian Sunil Grover has said that there is no need for a mediator to resolve the feud between him and Kapil Sharma. Sunil further said, ""Anyway, the best part is that the comedy didn't stop and it's continuing from both ends.""",59,41,0.35,0.6949152542372882,0.6949152542372882,-0.3449152542372882,0.5036585365853657,0.576271186440678
11,Kalam's relatives had placed the books alongside the sculpted Bhagavad Gita. A Hindu nationalist party filed a complaint saying keeping them without permission is wrong. Authorities have removed the copies of the Bible and Quran.,59,109,61.40350877192983,35,57,"Authorities have removed the copies of the Bible and Quran placed near APJ Abdul Kalam's memorial in Rameswaram in Tamil Nadu, following a complaint. Kalam's relatives had placed the books alongside the sculpted Bhagavad Gita placed near the statue before its inauguration. Later, a Hindu nationalist party filed a complaint saying keeping them without permission is wrong.","Authorities have removed the copies of the Bible and Quran placed near APJ Abdul Kalam's memorial in Rameswaram in Tamil Nadu, following a complaint. Kalam's relatives had placed the books alongside the sculpted Bhagavad Gita placed near the statue before its inauguration. Later, a Hindu nationalist party filed a complaint saying keeping them without permission is wrong.",57,57,0.77,1.0,1.0,-0.22999999999999998,0.77,0.6140350877192983
12,"Man, 25, allegedly found in compromising position with a woman at a government-run centre in Bokaro, Jharkhand. The victim, found unconscious when police rescued him from the mob, has suffered multiple injuries on his head, neck and legs.",63,113,63.33333333333333,38,60,"A 25-year-old man was on Wednesday assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Bokaro, Jharkhand. The victim, found unconscious when police rescued him from the mob, has suffered multiple injuries on his head, neck, legs and back. The man is reportedly battling for life in a hospital.","A 25-year-old man was on Wednesday assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Bokaro, Jharkhand. The victim, found unconscious when police rescued him from the mob, has suffered multiple injuries on his head, neck, legs and back. The man is reportedly battling for life in a hospital.",60,60,0.8,1.0,1.0,-0.19999999999999996,0.8,0.6333333333333333
13,"""This is not a new form and has been in practice since 1984 when IGIMS was established,"" Deputy Medical Superintendent Dr Manish Mandal said.",25,75,100.0,24,24,"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Bihar's Patna has asked its employees to declare their virginity and number of wives/husbands in a marital declaration form. Further, the form spelt bachelor as 'bechelor'. ""This is not a new form and has been in practice since 1984 when IGIMS was established,"" Deputy Medical Superintendent Dr Manish Mandal said.","""This is not a new form and has been in practice since 1984 when IGIMS was established,"" Deputy Medical Superintendent Dr Manish Mandal said.",59,24,0.23,0.4067796610169492,0.4067796610169492,-0.17677966101694917,0.5654166666666667,0.4067796610169492
14,"Brihanmumbai Municipal Corporation is planning to redevelop eight entry points of Mumbai's Juhu beach. Each entry point will have five metre high walls, and steps with railings among others. While residents welcomed the move, an activist said that any beautification shouldn't affect ""the natural feel of the beach""",63,113,77.41935483870968,48,62,"Brihanmumbai Municipal Corporation is planning to redevelop eight entry points of Mumbai's Juhu beach in the second phase by August-end, authorities said. As per the plan, each entry point will have five metre high walls, and steps with railings among others. While residents welcomed the move, an activist said that any beautification shouldn't affect ""the natural feel of the beach"".n  ","Brihanmumbai Municipal Corporation is planning to redevelop eight entry points of Mumbai's Juhu beach in the second phase by August-end, authorities said. As per the plan, each entry point will have five metre high walls, and steps with railings among others. While residents welcomed the move, an activist said that any beautification shouldn't affect ""the natural feel of the beach"".n  ",62,62,0.72,1.0,1.0,-0.28,0.72,0.7741935483870968
15,Kriti Sanon enquired who Bhairavi Goswami is. Bhargavi had also commented that even college students look better than Kriti. She got a lot of publicity.,63,113,40.98360655737705,25,61,"Kriti Sanon, when asked about 'Hate Story' actress Bhairavi Goswami's tweet saying Kriti is a ""deranged actress"" with ""no headlight"" and ""no bumper"", enquired who Bhairavi is. She further said,  ""I'm just happy for her. She got a lot of publicity. Now you guys know her name also"". Bhargavi had also commented that even college students look better than Kriti.","Kriti Sanon, when asked about 'Hate Story' actress Bhairavi Goswami's tweet saying Kriti is a ""deranged actress"" with ""no headlight"" and ""no bumper"", enquired who Bhairavi is. She further said,  ""I'm just happy for her. She got a lot of publicity. Now you guys know her name also"". Bhargavi had also commented that even college students look better than Kriti.",61,61,0.56,1.0,1.0,-0.43999999999999995,0.56,0.4098360655737705
16,The production aims to raise money for the Royal Academy of Dramatic Art. It will be directed by Kenneth Branagh. Hiddleston attends the school.,39,89,63.1578947368421,24,38,"Actor Tom Hiddleston will star in a play on William Shakespeare's 'Hamlet', which will be directed by Kenneth Branagh. The production aims to raise money for the Royal Academy of Dramatic Art, the drama school attended by Hiddleston. Tickets will be available through a lottery and winners will be able to collect them only on the day of the performance.","Actor Tom Hiddleston will star in a play on William Shakespeare's 'Hamlet', which will be directed by Kenneth Branagh. The production aims to raise money for the Royal Academy of Dramatic Art, the drama school attended by Hiddleston.",60,38,0.43,0.6333333333333333,0.6333333333333333,-0.2033333333333333,0.6789473684210526,0.4
17,"A sheikh said, ""We usually talk about the issues of daily life, and what religion says about such things""",30,80,65.51724137931035,19,29,"Egypt's highest Islamic authority Al-Azhar Al-Sharif has opened a fatwa kiosk at Cairo metro to offer commuters religious advice in an effort to counter extremism. A sheikh said, ""We usually talk about the issues of daily life, and what religion says about such things. The topics we mostly discuss are marriage, divorce and inheritance."" ","A sheikh said, ""We usually talk about the issues of daily life, and what religion says about such things. The topics we mostly discuss are marriage, divorce and inheritance.""",55,29,0.37,0.5370370370370371,0.5272727272727272,-0.15727272727272723,0.7017241379310345,0.34545454545454546
18,"PM Narendra Modi took a wristwatch by British company Sekonda and a decorative porcelain from the external affairs ministry's repository this year. All gifts received by ministers and officials have to be deposited at the repository, called toshakhana.",39,89,100.0,38,38,"PM Narendra Modi took a wristwatch by British company Sekonda and a decorative porcelain from the external affairs ministry's repository this year. All gifts received by ministers and officials have to be deposited at the repository, called toshakhana. However, a recipient can take home gifts valued under ?5,000.","PM Narendra Modi took a wristwatch by British company Sekonda and a decorative porcelain from the external affairs ministry's repository this year. All gifts received by ministers and officials have to be deposited at the repository, called toshakhana.",48,38,0.6,0.7916666666666666,0.7916666666666666,-0.19166666666666665,0.7578947368421053,0.7916666666666666
19,"The authorities expect that the shift will bring in more visitors and revenues. ""The museum is far away, and people have often complained they don?t visit as the travel is a pain,"" said an official.",36,86,100.0,35,35,"The Brihanmumbai Electric Supply and Transport (BEST) is planning to shift its 20-year-old museum from Wadala to Byculla zoo in Mumbai, authorities said. ""The museum is far away, and people have often complained they don?t visit as the travel is a pain,"" said an official. The authorities expect that the shift will bring in more visitors and revenues.","""The museum is far away, and people have often complained they don?t visit as the travel is a pain,"" said an official. The authorities expect that the shift will bring in more visitors and revenues.",58,35,0.47,0.603448275862069,0.603448275862069,-0.13344827586206898,0.7788571428571428,0.603448275862069
20,"Priyanka Chopra and Bryan Adams came together to support the organisation 'Hear The World Foundation', which works for people with hearing disabilities. Priyanka shared a picture with singer Bryan Adams on Instagram which she captioned, ""Was so good to see you again.""",44,94,100.0,42,42,"Priyanka Chopra has shared a picture with singer Bryan Adams on Instagram which she captioned, ""Was so good to see you again."" Priyanka and Bryan came together to support the organisation 'Hear The World Foundation', which works for people with hearing disabilities. Adams is known for songs like 'Summer of 69' and '(Everything I Do) I Do It for You'.","Priyanka Chopra has shared a picture with singer Bryan Adams on Instagram which she captioned, ""Was so good to see you again."" Priyanka and Bryan came together to support the organisation 'Hear The World Foundation', which works for people with hearing disabilities.",60,42,0.61,0.7,0.7,-0.08999999999999997,0.8714285714285714,0.7
21,I-T department recovered ?5 crore in cash from Karnataka minister DK Shivakumar's Delhi residence. 39 places linked to the in-charge of hospitality for 44 Gujarat Congress MLAs in Bengaluru were raided.,53,103,60.78431372549019,31,51,"The Income Tax Department recovered ?5 crore in cash from Karnataka minister DK Shivakumar's Delhi residence after it raided 39 places linked to the in-charge of hospitality for 44 Gujarat Congress MLAs in Bengaluru. Meanwhile, Karnataka Chief Minister Siddaramaiah said, ""In order to meet political conspiracies, I-T department has been used. This is not fair in politics.""","The Income Tax Department recovered ?5 crore in cash from Karnataka minister DK Shivakumar's Delhi residence after it raided 39 places linked to the in-charge of hospitality for 44 Gujarat Congress MLAs in Bengaluru. Meanwhile, Karnataka Chief Minister Siddaramaiah said, ""In order to meet political conspiracies, I-T department has been used.",57,51,0.6,0.8947368421052632,0.8947368421052632,-0.2947368421052632,0.6705882352941176,0.543859649122807
22,"Actress Swara Bhasker said that if as an actress, she works for as many days as an actor, then she should also expect an equal",53,103,49.01960784313725,25,51,"Actress Swara Bhasker, while addressing pay disparity in Bollywood, has said that if as an actress, she works for as many days as an actor, then she should also expect an equal amount of pay. Swara added, ""If you see in Hollywood, women are taking up this whole question of equality... so why can't Bollywood take its cue from them?""","Actress Swara Bhasker, while addressing pay disparity in Bollywood, has said that if as an actress, she works for as many days as an actor, then she should also expect an equal amount of pay. Swara added, ""If you see in Hollywood, women are taking up this whole question of equality...",60,51,0.28,0.85,0.85,-0.57,0.3294117647058824,0.4166666666666667
23,"Costumes worn by actors Judi Dench and AIi Fazal during the shooting of the film 'Victoria & Abdul' will be displayed at Queen Victoria's home, the Osborne House. Most of the scenes from the film were also shot in the same house.",47,97,93.33333333333333,42,45,"Costumes worn by actors Judi Dench and AIi Fazal during the shooting of the film 'Victoria & Abdul' will be displayed at Queen Victoria's home, the Osborne House in the UK. They will go on display for public Friday onwards. Most of the scenes from the film were also shot in the same house.","Costumes worn by actors Judi Dench and AIi Fazal during the shooting of the film 'Victoria & Abdul' will be displayed at Queen Victoria's home, the Osborne House in the UK. Most of the scenes from the film were also shot in the same house.",54,45,0.66,0.8333333333333334,0.8333333333333334,-0.17333333333333334,0.792,0.7777777777777778
24,"Imtiaz Ali says Shah Rukh Khan dealt with drunk fan gracefully. SRK's wife Gauri was also with him at the time. Imtiaz: ""Everybody was trying to deal with this crazy fan"" The film is based on a novel written by Shahrukh Khan and co-written by Ravi Agrawal.",55,105,88.67924528301887,47,53,"Filmmaker Imtiaz Ali has revealed that when he first met Shah Rukh Khan, a drunk girl was hanging on to him. ""It was in London for a film festival...He was dealing with her so gracefully without demeaning her,"" he added. Imtiaz further said, ""Gauri (SRK's wife) was also with him and everybody was trying to deal with this crazy fan"".","Filmmaker Imtiaz Ali has revealed that when he first met Shah Rukh Khan, a drunk girl was hanging on to him. He was dealing with her so gracefully without demeaning her,"" he added. Imtiaz further said, ""Gauri (SRK's wife) was also with him and everybody was trying to deal with this crazy fan"".",60,53,0.79,0.8833333333333333,0.8833333333333333,-0.09333333333333327,0.8943396226415095,0.7833333333333333
25,"The approval comes in wake of a 2006 Supreme Court's verdict. Reportedly, ?10 fine will be levied for delay up to a year and ?50 beyond that. Yogi Adityanath government has approved making the registration of marriages compulsory for all religions and castes in Uttar Pradesh.",63,113,76.66666666666667,46,60,"Yogi Adityanath government has approved making the registration of marriages compulsory for all religions and castes in Uttar Pradesh. The approval comes in wake of a 2006 Supreme Court's verdict, which asked Centre and state governments to draft rules for making marriage registration compulsory. Reportedly, ?10 fine will be levied for delay up to a year and ?50 beyond that.","Yogi Adityanath government has approved making the registration of marriages compulsory for all religions and castes in Uttar Pradesh. The approval comes in wake of a 2006 Supreme Court's verdict, which asked Centre and state governments to draft rules for making marriage registration compulsory. Reportedly, ?10 fine will be levied for delay up to a year and ?50 beyond that.",60,60,0.78,1.0,1.0,-0.21999999999999997,0.78,0.7666666666666667
26,The National Green Tribunal (NGT) has reconstituted the Principal Committee responsible for overseeing the execution of the Yamuna cleaning project. The irrigation departments of Delhi and Uttar Pradesh have been directed to remove debris from Yamuna floodplains within three weeks.,46,96,90.9090909090909,40,44,"The National Green Tribunal (NGT) on Tuesday directed the irrigation departments of Delhi and Uttar Pradesh to remove debris from the Yamuna floodplains within three weeks. The NGT added that any ?inaction on part of authorities cannot be tolerated?. Notably, the Tribunal has reconstituted the Principal Committee responsible for overseeing the execution of the Yamuna cleaning project.","The National Green Tribunal (NGT) on Tuesday directed the irrigation departments of Delhi and Uttar Pradesh to remove debris from the Yamuna floodplains within three weeks. Notably, the Tribunal has reconstituted the Principal Committee responsible for overseeing the execution of the Yamuna cleaning project.",57,44,0.57,0.7719298245614035,0.7719298245614035,-0.20192982456140351,0.7384090909090909,0.7017543859649122
27,Eight-time Olympic gold medallist Usain Bolt has warned his fellow athletes that they must stop doping otherwise track and field will die. Bolt,36,86,65.71428571428571,23,35,"Speaking ahead of his final appearance on the field at the upcoming world championships, eight-time Olympic gold medallist Usain Bolt warned his fellow athletes that they must stop doping otherwise track and field will die. On being asked about how he would feel in the 100m final at the upcoming world championships, Bolt said, ""Unbeatable and unstoppable"".","Speaking ahead of his final appearance on the field at the upcoming world championships, eight-time Olympic gold medallist Usain Bolt warned his fellow athletes that they must stop doping otherwise track and field will die.",57,35,0.23,0.6140350877192983,0.6140350877192983,-0.3840350877192983,0.37457142857142856,0.40350877192982454
28,"No damages have been reported in the incident. ""The electricity metre board had caught fire,"" said a fire official.",19,69,100.0,19,19,"A minor fire broke out in the basement of former Delhi Chief Minister Sheila Dixit's house in Delhi's Nizamuddin on Wednesday morning. ""We got a call at around 9:30 am about a fire. We sent two fire tenders to the spot. The electricity metre board had caught fire,"" said a fire official. No damages have been reported in the incident.","The electricity metre board had caught fire,"" said a fire official. No damages have been reported in the incident.",60,19,0.2,0.31666666666666665,0.31666666666666665,-0.11666666666666664,0.6315789473684211,0.31666666666666665
29,A woman in Kerala's Kochi area bit off the tongue of a neighbour on Monday night when he allegedly tried to rape her.,24,74,100.0,23,23,A woman in Kerala's Kochi area bit off the tongue of a neighbour on Monday night when he allegedly tried to rape her. The woman filed a police complaint against her 30-year-old neighbour and produced a two centimetre strip of the tongue at the police station. The accused allegedly had similar charges against him earlier.,A woman in Kerala's Kochi area bit off the tongue of a neighbour on Monday night when he allegedly tried to rape her.,55,23,0.28,0.41818181818181815,0.41818181818181815,-0.13818181818181813,0.6695652173913045,0.41818181818181815
30,"The incident came to light after she complained of stomach ache. The police have arrested one of the accused, who is a juvenile, while the other is on the run. The 15-year-old Haryana girl has been found to be seven-months pregnant.",63,113,68.33333333333333,41,60,"A 15-year-old Haryana girl has been found to be seven-months pregnant after two of her cousins allegedly raped her several times. The incident came to light after she complained of stomach ache and was taken to the hospital on July 29. The police have arrested one of the accused, who is a juvenile, while the other is on the run.","A 15-year-old Haryana girl has been found to be seven-months pregnant after two of her cousins allegedly raped her several times. The incident came to light after she complained of stomach ache and was taken to the hospital on July 29. The police have arrested one of the accused, who is a juvenile, while the other is on the run.",60,60,0.76,1.0,1.0,-0.24,0.76,0.6833333333333333
31,"Actress Koena Mitra has filed a sexual harassment complaint. She received lewd phone calls from a stranger. The man reportedly kept calling her, offered her money for a night out and verbally abused her.",35,85,100.0,34,34,"Actress Koena Mitra has filed a sexual harassment complaint after receiving lewd phone calls from a stranger. The man reportedly kept calling her, offered her money for a night out and verbally abused her. ""From July 24, I started getting calls from random numbers,"" said Koena. She decided to approach the police when the calls didn't stop coming.","Actress Koena Mitra has filed a sexual harassment complaint after receiving lewd phone calls from a stranger. The man reportedly kept calling her, offered her money for a night out and verbally abused her.",58,34,0.38,0.5862068965517241,0.5862068965517241,-0.20620689655172408,0.6482352941176471,0.5862068965517241
32,"22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them. This is higher than the 19 ministers (69%) in the previous Grand Alliance government. The Bihar government has been in power since May.",33,83,125.0,40,32,"As many as 22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them, higher than the 19 ministers (69%) in the previous Grand Alliance government. Further, 21 ministers (72%) are crorepatis, a little less than 22 (79%) in the previous government. Also, a minister in the new cabinet earns an average ?2.46 crore.","As many as 22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them, higher than the 19 ministers (69%) in the previous Grand Alliance government.",60,32,0.42,0.5333333333333333,0.5333333333333333,-0.11333333333333334,0.7875,0.6666666666666666
33,"Lakshmibai College will be the first college in the University of Delhi to start a crèche facility for the children of its teaching and non-teaching staff in August. The crèches will consist of two rooms, a pantry, and a play area.",63,113,68.33333333333333,41,60,"Lakshmibai College will be the first college in the University of Delhi to start a crèche facility for the children of its teaching and non-teaching staff in August. College principal said the teachers would be able to focus more on their work without worrying about the children. The crèche will consist of two rooms, a pantry, and a play area.","Lakshmibai College will be the first college in the University of Delhi to start a crèche facility for the children of its teaching and non-teaching staff in August. College principal said the teachers would be able to focus more on their work without worrying about the children. The crèche will consist of two rooms, a pantry, and a play area.",60,60,0.74,1.0,1.0,-0.26,0.74,0.6833333333333333
34,Crowded roads consume nearly one-and-a-half times more fuel per kilometre. Fuel-efficient roads in Delhi and its suburbs are more fuel-efficient.,31,81,66.66666666666666,20,30,"An ongoing study has found that vehicles traveling on ""average"", crowded roads consumed nearly one-and-a-half times more fuel per kilometre compared to ?good?, fuel-efficient roads in Delhi and its suburbs. The motorists hence end up spending more, said a member associated with the study. The cumulative wastage of fuel would allegedly be an extra burden on India?s oil imports bill.","An ongoing study has found that vehicles traveling on ""average"", crowded roads consumed nearly one-and-a-half times more fuel per kilometre compared to ?good?, fuel-efficient roads in Delhi and its suburbs.",60,30,0.39,0.5,0.5,-0.10999999999999999,0.78,0.3333333333333333
35,"Team India will play a record 23 home matches this year from September to December. India will host Australia, New Zealand and Sri Lanka during the season. The team will also play a total of three Tests, 11 ODIs and nine T20Is.",50,100,87.5,42,48,"Team India will play a record 23 home matches this year from September to December, the BCCI announced on Tuesday. India will host Australia, New Zealand and Sri Lanka during the season, with the team playing a total of three Tests, 11 ODIs and nine T20Is at home. Thiruvananthapuram and Barsapara in Assam may be added as Test venues.","Team India will play a record 23 home matches this year from September to December, the BCCI announced on Tuesday. India will host Australia, New Zealand and Sri Lanka during the season, with the team playing a total of three Tests, 11 ODIs and nine T20Is at home.",59,48,0.53,0.8135593220338984,0.8135593220338984,-0.28355932203389833,0.6514583333333334,0.711864406779661
36,"Google has no ""information on [its] records with respect to Harshit Sharma's candidacy"", it has said. The news about the tech giant hiring the class 12 Chandigarh boy went viral.",33,83,93.75,30,32,"Google has clarified that it has no ""information on [its] records with respect to Harshit Sharma's candidacy"", after a news about the tech giant hiring the class 12 Chandigarh boy went viral. It was reported that Harshit would get ?4 lakh monthly as trainee graphic designer, and ?12 lakh monthly after the training completes in a month.","Google has clarified that it has no ""information on [its] records with respect to Harshit Sharma's candidacy"", after a news about the tech giant hiring the class 12 Chandigarh boy went viral.",57,32,0.46,0.5614035087719298,0.5614035087719298,-0.10140350877192977,0.8193750000000001,0.5263157894736842
37,A female teacher in Odisha was suspended on Tuesday for allegedly getting a massage by a schoolgirl.,21,71,85.0,17,20,"A female teacher in Odisha was suspended on Tuesday for allegedly getting a massage by a schoolgirl on school premises. The teacher, Bharati Meher, said the incident took place around two years ago when she told a class eight student she had a headache and the latter offered to massage her head. A video of the incident went viral online.",A female teacher in Odisha was suspended on Tuesday for allegedly getting a massage by a schoolgirl on school premises.,60,20,0.24,0.3333333333333333,0.3333333333333333,-0.09333333333333332,0.72,0.2833333333333333
38,Passengers were stranded on Greek island Zakynthos for days. EasyJet plane developed technical difficulties on Sunday. Replacement plane couldn't fly in due to mating turtles.,44,94,59.523809523809526,25,42,"Passengers were stranded on Greek island Zakynthos for days after their easyJet plane developed technical difficulties on Sunday and a replacement plane couldn't fly in due to mating turtles. A flyer said there was no easyJet representative and passengers were forced to wait through ""hours of nothingness."" The airport has a night curfew to protect vulnerable loggerhead turtles breeding nearby. ",Passengers were stranded on Greek island Zakynthos for days after their easyJet plane developed technical difficulties on Sunday and a replacement plane couldn't fly in due to mating turtles. The airport has a night curfew to protect vulnerable loggerhead turtles breeding nearby.,61,42,0.55,0.7,0.6885245901639344,-0.13852459016393437,0.7988095238095239,0.4098360655737705
