,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,batch_texts,batch_output,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
10,Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It,49,73.5,53.191489361702125,25,47,[],['Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It'],"Indias food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties. It further added that all food must meet the safety and hygiene standards.","Indias food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties",60,47,0.35,0.7833333333333333,0.7833333333333333,-0.43333333333333335,0.44680851063829785,0.4166666666666667
11,"Harshit Sharma, a class 12 Chandigarh boy, got a hoax job offer call from Google. His mother said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release.",48,72.0,95.65217391304348,44,46,[],"['Harshit Sharma, a class 12 Chandigarh boy, got a hoax job offer call from Google. His mother said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release.']","The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release. Harshit is hospitalised since Google denied giving him a job, his mother added.","The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release",59,46,0.77,0.7796610169491526,0.7796610169491526,-0.009661016949152557,0.9876086956521739,0.7457627118644068
12,"19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, owners allegedly said that revenues from parking profited them more.",63,94.5,83.33333333333334,50,60,[],"['19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, owners allegedly said that revenues from parking profited them more.']","Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.","Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.",60,60,0.8,1.0,1.0,-0.19999999999999996,0.8,0.8333333333333334
13,Scientists successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in,25,37.5,79.16666666666666,19,24,[],['Scientists successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in'],"Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families. The disease, called hypertrophic cardiomyopathy, causes the heart to stop suddenly and is the result of an error in a single gene. The breakthrough could lead to preventing 10,000 disorders that are passed down the generations.","Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families",60,24,0.23,0.4,0.4,-0.17,0.575,0.31666666666666665
14,"Delhis 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"" Another 124 buildings under New Delhi Municipal Council were identified as dangerous. A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that the buildings were dangerous.",45,67.5,106.9767441860465,46,43,[],"['Delhis 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"" Another 124 buildings under New Delhi Municipal Council were identified as dangerous. A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that the buildings were dangerous.']","A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhis 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous. The authorities said that they conduct surveys of unsafe buildings every year and undertake required actions.","A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhis 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous",59,43,0.72,0.7288135593220338,0.7288135593220338,-0.00881355932203387,0.987906976744186,0.7796610169491526
15,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The court was asked whether NOTA would apply to,40,60.0,97.43589743589743,38,39,[],['The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The court was asked whether NOTA would apply to'],The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The SC further said that the issue would be heard as a constitutional question . whether NOTA would apply to election of council of states. ,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. whether NOTA would apply to election of council of states,55,39,0.56,0.7222222222222222,0.7090909090909091,-0.14909090909090905,0.7897435897435898,0.6909090909090909
16,"Tanveer Hussain, a 24 year old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl. Hussain was on a visit to the",35,52.5,91.17647058823529,31,34,[],"['Tanveer Hussain, a 24 year old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl. Hussain was on a visit to the']","Tanveer Hussain, a 24 year old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition. An Essex County jury has charged Hussain with one count of first degree sexual abuse and two counts of endangering the welfare of a child.","Tanveer Hussain, a 24 year old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition",59,34,0.43,0.6071428571428571,0.576271186440678,-0.146271186440678,0.7461764705882352,0.5254237288135594
17,Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport.,23,34.5,90.9090909090909,20,22,[],['Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport.'],"Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday. Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti."" Its X ray image had raised suspicion among airport staff. ",Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday,52,22,0.37,0.44,0.4230769230769231,-0.05307692307692308,0.8745454545454545,0.38461538461538464
18,"Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didnt find anything objectionable in it. Pandey added that he discussed the issue with the management, who informed him that the format used was same as",63,94.5,78.33333333333333,47,60,[],"['Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didnt find anything objectionable in it. Pandey added that he discussed the issue with the management, who informed him that the format used was same as']","Defending the IGIMS marital declaration form, Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didnt find anything objectionable in it. Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS and was being used since 1983.","Defending the IGIMS marital declaration form, Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didnt find anything objectionable in it. Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS and was being used since 1983.",60,60,0.6,1.0,1.0,-0.4,0.6,0.7833333333333333
19,"The post garnered comments like ""Get them out of our country"" and ""Could be terrorists"" It was shared on the group as a prank.",35,52.5,70.58823529411765,24,34,[],"['The post garnered comments like ""Get them out of our country"" and ""Could be terrorists"" It was shared on the group as a prank.']","The members of a Norwegian anti immigrant group have been trolled for mistaking a photograph of six empty bus seats for a group of women wearing burqas. The post, shared on the closed Facebook group Fedrelandet viktigst (Fatherland first), garnered comments like ""Get them out of our country"" and ""Could be terrorists."" It was shared on the group as a prank.","The post, shared on the closed Facebook group Fedrelandet viktigst (Fatherland first), garnered comments like ""Get them out of our country"" and ""Could be terrorists."" It was shared on the group as a prank.",61,34,0.47,0.5666666666666667,0.5573770491803278,-0.08737704918032785,0.8432352941176471,0.39344262295081966
20,A newborn boy in Maharashtras Thane was found to be pregnant with own half formed twin that was feeding off the boys blood supply. Doctors said that it was a very rare condition called fetus in fetu with less than 200 such cases recorded till date.,49,73.5,97.87234042553192,46,47,[],['A newborn boy in Maharashtras Thane was found to be pregnant with own half formed twin that was feeding off the boys blood supply. Doctors said that it was a very rare condition called fetus in fetu with less than 200 such cases recorded till date.'],A newborn boy in Maharashtras Thane was found to be pregnant with own half formed twin that was feeding off the boys blood supply. The doctors said that it was a very rare condition called fetus in fetu with less than 200 such cases recorded till date. The doctors successfully operated to remove the 7 cm fetus that weighed 150 gram.,A newborn boy in Maharashtras Thane was found to be pregnant with own half formed twin that was feeding off the boys blood supply. The doctors said that it was a very rare condition called fetus in fetu with less than 200 such cases recorded till date,61,47,0.61,0.7966101694915254,0.7704918032786885,-0.1604918032786885,0.7917021276595745,0.7540983606557377
21,The move is aimed at streamlining traffic movement outside the hospitals. The Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no hawker zone.,61,91.5,49.152542372881356,29,59,[],['The move is aimed at streamlining traffic movement outside the hospitals. The Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no hawker zone.'],"The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle. ","The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle",60,59,0.6,1.0172413793103448,0.9833333333333333,-0.3833333333333333,0.6101694915254238,0.48333333333333334
22,39 farmers were arrested on Friday for stopping a passenger train. Over 400 farmers from Greater Noida and adjoining areas protested,39,58.5,55.26315789473685,21,38,[],['39 farmers were arrested on Friday for stopping a passenger train. Over 400 farmers from Greater Noida and adjoining areas protested'],Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi Howrah railway track for an hour. The arrested farmers had been demanding more compensation for land being acquired by the government for construction of the Eastern Peripheral Expressway. ,Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi Howrah railway track for an hour,61,38,0.28,0.6440677966101694,0.6229508196721312,-0.34295081967213115,0.44947368421052636,0.3442622950819672
23,"Pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters. The Air Canada flight came to crashing onto four planes at a US airport.",63,94.5,76.66666666666667,46,60,[],"['Pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters. The Air Canada flight came to crashing onto four planes at a US airport.']","Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters.","Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters.",60,60,0.66,1.0,1.0,-0.33999999999999997,0.66,0.7666666666666667
24,"Two sunbathers, a 56 year old man and an eight year old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.",56,84.0,100.0,54,54,[],"['Two sunbathers, a 56 year old man and an eight year old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.']","Two sunbathers, a 56 year old man and an eight year old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The others had run into the sea to save themselves. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.","Two sunbathers, a 56 year old man and an eight year old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.",64,54,0.79,0.9,0.84375,-0.053749999999999964,0.9362962962962963,0.84375
25,"Saudi led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel held capital Sanaa. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi led coalition has been involved in Yemens civil war backing the Yemenigovernment against the Houthi rebels.",66,99.0,92.06349206349206,58,63,[],"['Saudi led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel held capital Sanaa. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi led coalition has been involved in Yemens civil war backing the Yemenigovernment against the Houthi rebels.']","The Saudi led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi led coalition has been involved in Yemens civil war backing the Yemeni government against the Houthi rebels.","The Saudi led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi led coalition has been involved in Yemens civil war backing the Yemeni government against the Houthi rebels.",63,63,0.78,1.05,1.0,-0.21999999999999997,0.78,0.9206349206349206
26,"The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US.",42,63.0,97.5,39,40,[],"['The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US.']","The US Air Force on Wednesday successfully launched an unarmed intercontinental ballistic missile from California, the fourth such test this year. The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US. ","The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US. ",61,40,0.57,0.65,0.6557377049180327,-0.08573770491803279,0.86925,0.639344262295082
27,The remains of a German hiker disappeared while climbing in the Swiss Alps 30 years ago.,28,42.0,59.25925925925925,16,27,[],['The remains of a German hiker disappeared while climbing in the Swiss Alps 30 years ago.'],"The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said. The remains were found by two people climbing the Lagginhorn mountain, they added. Recently, bodies of a Swiss couple who went missing 75 years ago were found perfectly preserved in the Alps.","The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said",59,27,0.23,0.4576271186440678,0.4576271186440678,-0.2276271186440678,0.5025925925925926,0.2711864406779661
28,Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai. He has been suffering,17,34.0,94.11764705882352,16,17,[],['Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai. He has been suffering'],"Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration. The doctors treating the 94 year old actor have said that he is stable and currently recuperating in the general ward while adding, ""There is no cause for concern."" The veteran actor had also been hospitalised twice last year due to medical reasons.","Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration",60,17,0.2,0.29310344827586204,0.2833333333333333,-0.08333333333333331,0.7058823529411765,0.26666666666666666
29,"The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism",31,46.5,56.666666666666664,17,30,[],"['The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism']","The Mangrove Society of India has listed Mumbais two mangrove wetlands. Airoli and Vikhroli, among twelve unique mangrove forests in India. The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said. ""Mangrove forests can sequester carbon 10 times more than tropical forests,"" they added.","Airoli and Vikhroli, among twelve unique mangrove forests in India. The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said",54,30,0.28,0.5555555555555556,0.5555555555555556,-0.27555555555555555,0.504,0.3148148148148148
30,Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Abu Dujana. This is the first time the authorities have asked them to do so. Abu DuJana was killed by security forces on Tuesday.,66,99.0,65.07936507936508,41,63,[],['Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Abu Dujana. This is the first time the authorities have asked them to do so. Abu DuJana was killed by security forces on Tuesday.'],"Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Lashkar e Taiba commander Abu Dujana, who was killed by security forces on Tuesday. Notably, this is the first time the authorities have approached the High Commission asking them to claim the body of any Pakistani national killed in an anti militancy operation in the state.","Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Lashkar e Taiba commander Abu Dujana, who was killed by security forces on Tuesday. Notably, this is the first time the authorities have approached the High Commission asking them to claim the body of any Pakistani national killed in an anti militancy operation in the state.",63,63,0.76,1.05,1.0,-0.24,0.76,0.6507936507936508
31,Djana was killed by the security forces on Tuesday after a seven hour gunfight in south Kashmirs Pulwama district. Eight pilgrims were killed and 18,36,54.0,71.42857142857143,25,35,[],['Djana was killed by the security forces on Tuesday after a seven hour gunfight in south Kashmirs Pulwama district. Eight pilgrims were killed and 18'],"Abu Ismail, mastermind of the Amarnath Yatra attack, will reportedly replace Abu Dujana as the Kashmir division chief of Lashkar e Taiba (LeT). Dujana was killed by the security forces on Tuesday after a seven hour gunfight in south Kashmirs Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month. ","Dujana was killed by the security forces on Tuesday after a seven hour gunfight in south Kashmirs Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month",59,35,0.38,0.6363636363636364,0.5932203389830508,-0.21322033898305082,0.6405714285714286,0.423728813559322
32,"US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a real dump. The White House, the",59,88.5,57.89473684210527,33,57,[],"['US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a real dump. The White House, the']","Explaining his frequent visits to golf clubs, US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a real dump, according to reports. Notably, the White House is the most expensive house in the US and is worth almost $400 million. ","Explaining his frequent visits to golf clubs, US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a real dump, according to reports. Notably, the White House is the most expensive house in the US and is worth almost $400 million",58,57,0.42,1.0,0.9827586206896551,-0.5627586206896551,0.42736842105263156,0.5689655172413793
